customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Predicted Churn,Churn Probability,Recommendation,Prediction Status
5375,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,2505,0,0,0.5,🤝 Maintain engagement,✅ Correct
3962,0,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1466,0,0,0.02,🤝 Maintain engagement,✅ Correct
2564,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,157,1,1,0.64,📉 Offer retention benefit,✅ Correct
5535,0,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1400,0,0,0.0,🤝 Maintain engagement,✅ Correct
6511,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,925,1,0,0.47,🤝 Maintain engagement,❌ Incorrect
6551,1,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,6104,1,1,0.71,📉 Offer retention benefit,✅ Correct
1002,0,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1550,0,0,0.34,🤝 Maintain engagement,✅ Correct
4770,1,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,2609,0,0,0.17,🤝 Maintain engagement,✅ Correct
5604,1,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,2646,1,1,0.8,📉 Offer retention benefit,✅ Correct
4534,0,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3022,0,0,0.03,🤝 Maintain engagement,✅ Correct
6871,0,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,4823,0,0,0.18,🤝 Maintain engagement,✅ Correct
5288,0,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,2836,0,0,0.03,🤝 Maintain engagement,✅ Correct
5751,0,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,4693,0,0,0.21,🤝 Maintain engagement,✅ Correct
174,0,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,4265,1,1,0.76,📉 Offer retention benefit,✅ Correct
3615,0,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2337,0,0,0.43,🤝 Maintain engagement,✅ Correct
2556,1,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,5959,0,0,0.14,🤝 Maintain engagement,✅ Correct
5820,1,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,46,0,0,0.03,🤝 Maintain engagement,✅ Correct
7019,0,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,5704,0,0,0.23,🤝 Maintain engagement,✅ Correct
2937,1,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,4416,1,0,0.4,🤝 Maintain engagement,❌ Incorrect
2928,1,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1433,0,0,0.37,🤝 Maintain engagement,✅ Correct
6207,0,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,3340,1,1,0.64,📉 Offer retention benefit,✅ Correct
